,As:1,As:2,As:3,As:4,As:5,As:6,Qz:1,Qz:2,Qz:3,Qz:4,Qz:5,Qz:6,Qz:7,Qz:8,S-I,S-II,Final,Proj
45,65.0,82.0,86.66666666666667,91.66666666666666,79.375,,0.0,50.0,85.0,45.0,25.0,40.0,20.833333333333336,,40.0,26.6,41.349999999999994,
0,26.5,81.66666666666667,80.0,70.0,,,5.0,0.0,56.25,20.0,60.0,70.0,,,48.333333333333336,46.33333333333333,69.97777777777777,
1,34.0,0.0,86.0,80.0,,,60.0,0.0,18.75,20.0,0.0,50.0,,,35.0,32.66666666666667,38.11111111111111,
2,68.5,0.0,87.0,92.5,,,35.0,20.0,31.25,70.0,90.0,90.0,,,37.46666666666666,66.33333333333333,78.22222222222223,
3,33.0,81.66666666666667,53.0,86.25,,,50.0,30.0,0.0,60.0,50.0,60.0,,,41.66666666666667,46.266666666666666,56.31111111111111,
4,35.0,0.0,0.0,48.75,,,15.0,60.0,37.5,60.0,40.0,50.0,,,63.33333333333333,55.400000000000006,65.64444444444445,
5,40.5,75.0,76.0,66.25,,,5.0,45.0,37.5,50.0,40.0,30.0,,,38.333333333333336,39.06666666666666,68.73333333333333,
6,0.0,72.5,63.0,80.0,,,10.0,50.0,37.5,60.0,60.0,80.0,,,33.33333333333333,48.13333333333333,66.82222222222222,
7,0.0,77.5,89.0,0.0,,,65.0,60.0,0.0,0.0,65.0,70.0,,,93.33333333333333,70.86666666666666,68.2,
8,41.65,87.5,88.0,75.0,,,90.0,50.0,37.5,30.0,40.0,0.0,,,53.333333333333336,72.66666666666667,56.39999999999999,
9,89.0,78.33333333333333,87.0,91.25,,,60.0,20.0,0.0,10.0,80.0,90.0,,,58.333333333333336,81.8,81.37777777777777,
10,35.0,0.0,39.0,31.25,,,30.0,20.0,25.0,10.0,40.0,65.0,,,35.0,51.733333333333334,55.91111111111111,
11,37.5,76.66666666666667,78.0,58.75,,,35.0,50.0,43.75,0.0,60.0,80.0,,,56.666666666666664,54.46666666666666,57.28888888888889,
12,82.5,91.66666666666666,86.0,87.5,,,35.0,60.0,50.0,50.0,70.0,40.0,,,50.0,70.86666666666666,63.577777777777776,
13,62.0,92.5,72.0,90.0,,,15.0,20.0,43.75,20.0,70.0,10.0,,,33.33333333333333,22.666666666666664,52.355555555555554,
14,55.50000000000001,66.66666666666666,74.0,66.25,,,50.0,10.0,0.0,50.0,60.0,60.0,,,58.333333333333336,69.93333333333334,62.8,
15,74.5,84.16666666666667,86.0,81.25,,,100.0,30.0,75.0,30.0,90.0,70.0,,,43.333333333333336,77.2,74.13333333333333,
16,18.5,85.83333333333333,71.0,80.0,,,5.0,10.0,43.75,50.0,70.0,80.0,,,57.46666666666667,67.26666666666667,75.91111111111111,
17,27.0,73.33333333333333,51.0,82.5,,,5.0,20.0,37.5,20.0,0.0,40.0,,,33.33333333333333,12.666666666666664,30.91111111111111,
18,0.0,71.66666666666667,60.0,68.75,,,70.0,50.0,31.25,10.0,20.0,90.0,,,65.0,43.6,75.93333333333334,
19,59.0,78.33333333333333,77.0,70.0,,,55.00000000000001,0.0,56.25,0.0,40.0,60.0,,,57.46666666666667,59.0,68.2,
20,30.5,0.0,45.0,45.0,,,20.0,10.0,37.5,0.0,0.0,10.0,,,58.333333333333336,48.13333333333333,38.62222222222222,
21,27.0,0.0,73.0,75.0,,,45.0,50.0,43.75,20.0,0.0,45.0,,,43.333333333333336,26.333333333333336,30.88888888888889,
22,47.0,0.0,91.0,73.75,,,0.0,30.0,0.0,20.0,0.0,45.0,,,25.8,13.600000000000001,17.244444444444444,
23,54.0,72.5,46.0,72.5,,,70.0,10.0,50.0,20.0,10.0,0.0,,,36.666666666666664,30.866666666666664,48.644444444444446,
24,41.0,70.83333333333334,54.0,77.5,,,45.0,30.0,0.0,40.0,10.0,60.0,,,38.333333333333336,35.4,35.888888888888886,
25,63.5,87.5,75.0,66.25,,,5.0,40.0,37.5,80.0,40.0,70.0,,,56.666666666666664,69.06666666666666,70.02222222222223,
26,37.75,85.0,77.0,75.0,,,80.0,0.0,43.75,50.0,80.0,45.0,,,43.333333333333336,71.73333333333332,73.24444444444444,
27,71.0,21.5,75.0,50.0,,,50.0,30.0,50.0,10.0,60.0,90.0,,,54.13333333333333,45.4,89.55555555555554,
28,12.0,53.333333333333336,62.0,68.75,,,0.0,10.0,37.5,0.0,20.0,70.0,,,56.666666666666664,42.66666666666667,63.53333333333333,
29,24.5,59.166666666666664,71.0,67.5,,,0.0,0.0,37.5,10.0,10.0,10.0,,,35.0,22.666666666666664,32.28888888888889,
